"Product","Price","Link"
"Alienware 15 Gaming Laptop - Intel Core i7 - 8GB GeForce GTX 1070 Graphics - 1080p - G-Sync Display Notebook PC Computer 15.6"" 16GB 1TB 256GB SSD i7 Dell","$2,279.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA8X56PJ2014&cm_re=alienware-_-9SIA8X56PJ2014-_-Product"
"Alienware 15 4K UHD Touchscreen Gaming Laptop Intel Skylake Core i7-6700HQ 16GB DDR4 Memory 256GB SSD + 1TB HDD NVIDIA GeForce GTX 970M Klipsch Audio USB 3.0 Type-C 802.11ac Bluetooth 4.1 Windows 10","$1,869.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA6R44N58363&cm_re=alienware-_-9SIA6R44N58363-_-Product"
"Refurbished: Alienware Aurora R6 Intel Core i5-7400 X4 3GHz 8GB 1TB Win10, Silver (Certified Refurbished)","$899.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16883302047&cm_re=alienware-_-83-302-047-_-Product"
"Alienware AUR5-12571SLV Desktop (6th Generation Intel Core i7, 16GB RAM, 256GB SSD + 2TB HDD), Epic Silver","$1,769.00 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ76U9300&cm_re=alienware-_-1VK-001G-000C4-_-Product"
"Alienware 15 R3 15.6"" LCD Gaming Notebook with Dell SE2417HG 23.6"" LED LCD Monitor","$1,569.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G6XC2374&cm_re=alienware-_-9SIA24G6XC2374-_-Product"
"Alienware Area-51 R2 Intel Core i7-5820K X6 3.3GHz 16GB 2.1TB Win10, Silver","$2,999.11","https://www.newegg.com/Product/Product.aspx?Item=9SIADDT5G09582&cm_re=alienware-_-9SIADDT5G09582-_-Product"
"Alienware 15 R3 15.6"" LCD Gaming Notebook Includes Alienware Elite Gaming Mouse AW958 - Intel Core i7-7700HQ (7th Gen) Quad-Core 2.80 GHz - 16 GB DDR4 SDRAM - 1 TB HDD - NVIDIA GeForce GTX 1060 -","$1,659.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G6KA7226&cm_re=alienware-_-9SIA24G6KA7226-_-Product"
"ALIENWARE AURORA R7 GAMING DESKTOP PC Corei i7-8700K Liquid Cooling 16GB DDR4 GeForce GTX 1080 2TB HDD 256GB SSD NVMe Windows 10 Home","$2,499.99 (3 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA8FM7DT6953&cm_re=alienware-_-1VK-0001-1AGP4-_-Product"
"Alienware AW17R4-7005SLV-PUS 17"" Laptop (7th Generation Intel Core i7, 16GB RAM, 1TB HDD, Silver) with NVIDIA GTX 1060","$1,499.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA6R475D2958&cm_re=alienware-_-1TS-001S-000A3-_-Product"
"Dell Alienware 17.3"" Gaming Laptop Notebook AW17R4-7001SLV-PUS Computer PC i7 16GB NVIDIA GeForce GTX 1070 1TB 128GB SSD","$2,559.87","https://www.newegg.com/Product/Product.aspx?Item=9SIAFVD7C75925&cm_re=alienware-_-9SIAFVD7C75925-_-Product"
"Alienware 17 R4 17.3"" LCD Gaming Notebook + Dell Gaming 23.6"" LED LCD Monitor","$1,759.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G6XC2373&cm_re=alienware-_-9SIA24G6XC2373-_-Product"
"Alienware AW17R4-7003 17.3"" Laptop Bundle with Vindicator 2.0 Sleeve","$1,700.58 (6 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA2F85FK7833&cm_re=alienware-_-1TS-000A-01NR7-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 120GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,025.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7783&cm_re=alienware-_-9SIAC3J6NT7783-_-Product"
"Alienware X51 Slim Desktop Windows 7 Professional i7-4790 processor 2TB HDD 16GB Memory NVIDIA GeForce GTX 760 Ti with 2G GDDR5","$1,488.95 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA7AB2TS7303&cm_re=alienware-_-1VK-0001-06NC0-_-Product"
"Alienware Area 51 Intel Core i9-7920X 12 Core 2.9GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 2X SLI Nvidia GeForce GTX 1080 8GB GDDR5X - 1000W - Windows 10 Gaming Desktop","$8,450.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4523&cm_re=alienware-_-9SIAC3J6PT4523-_-Product"
"Alienware - Aurora R7 Desktop - Intel Core i7-8700 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver","$1,579.99 (6 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G7AP6834&cm_re=alienware-_-1VK-0001-1AGP7-_-Product"
"Alienware Alpha Intel Core i7-4785T X4 2.2GHz 8GB 1TB Win10, Black","$999.11","https://www.newegg.com/Product/Product.aspx?Item=9SIADDT5FH1617&cm_re=alienware-_-9SIADDT5FH1617-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 2TB 7200RPM + 1TB SSD - 32GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1070 TI 8GB GDDR5 - 850W - Windows 10 Gaming Desktop","$5,050.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4538&cm_re=alienware-_-9SIAC3J6PT4538-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 2TB 7200RPM + 1TB SSD - 32GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,150.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4524&cm_re=alienware-_-9SIAC3J6PT4524-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 2TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$6,050.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4515&cm_re=alienware-_-9SIAC3J6PT4515-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 500GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$4,200.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0538&cm_re=alienware-_-9SIAC3J6XH0538-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 240GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 8GB GDDR5X/1000W - Windows 10 Gaming Desktop","$3,925.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7789&cm_re=alienware-_-9SIAC3J6NT7789-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 240GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,550.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7784&cm_re=alienware-_-9SIAC3J6NT7784-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 500GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,150.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7796&cm_re=alienware-_-9SIAC3J6NT7796-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 500GB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,550.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4529&cm_re=alienware-_-9SIAC3J6PT4529-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,750.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4526&cm_re=alienware-_-9SIAC3J6PT4526-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 2TB 7200RPM + 2TB SSD - 32GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,500.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4533&cm_re=alienware-_-9SIAC3J6PT4533-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1070 TI 8GB GDDR5 - 850W - Windows 10 Gaming Desktop","$5,600.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4520&cm_re=alienware-_-9SIAC3J6PT4520-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 240GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,000.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35927&cm_re=alienware-_-9SIAC3J5G35927-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 120GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$3,950.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35928&cm_re=alienware-_-9SIAC3J5G35928-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 1TB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,250.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35930&cm_re=alienware-_-9SIAC3J5G35930-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1070 8GB GDDR5 SLI - 1000W - Windows 10 Gaming Desktop","$4,100.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1522&cm_re=alienware-_-9SIAC3J53Z1522-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/4TB 7200RPM + 500GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/64GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,550.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35925&cm_re=alienware-_-9SIAC3J5G35925-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 500GB Solid State Drive - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1070 8GB GDDR5 SLI - 1000W - Windows 10 Gaming Desktop","$4,300.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1476&cm_re=alienware-_-9SIAC3J53Z1476-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 500GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,075.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35923&cm_re=alienware-_-9SIAC3J5G35923-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 120GB Solid State Drive - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1070 8GB GDDR5 SLI - 1000W - Windows 10 Gaming Desktop","$4,200.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1483&cm_re=alienware-_-9SIAC3J53Z1483-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 500GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$3,700.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0537&cm_re=alienware-_-9SIAC3J6XH0537-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 120GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$4,100.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0542&cm_re=alienware-_-9SIAC3J6XH0542-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 120GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1080 8GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,375.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7794&cm_re=alienware-_-9SIAC3J6NT7794-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 2TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 TI 11GB GDDR5X - 850W - Windows 10 Gaming Desktop","$6,250.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G37959&cm_re=alienware-_-9SIAC3J5G37959-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 TI 11GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,900.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G37967&cm_re=alienware-_-9SIAC3J5G37967-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 500GB Solid State Drive - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1080 8GB GDDR5X SLI - 1000W - Windows 10 Gaming Desktop","$4,875.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1486&cm_re=alienware-_-9SIAC3J53Z1486-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 1TB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$4,350.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0535&cm_re=alienware-_-9SIAC3J6XH0535-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 240GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$4,150.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0540&cm_re=alienware-_-9SIAC3J6XH0540-_-Product"
"Alienware 17 R4 Flagship Gaming Laptop, 17.3"" Full HD IPS Screen, Intel Core i7-7700HQ up to 3.8 GHz, Dedicated NVIDIA GeForce GTX 1060 graphics with 6GB GDDR5 VRAM, 16GB DDR4 RAM, 1TB HDD, Windows 10","$1,499.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA6R47956648&cm_re=alienware-_-9SIA6R47956648-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 240GB Solid State Drive - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1080 8GB GDDR5X SLI - 1000W - Windows 10 Gaming Desktop","$4,800.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1484&cm_re=alienware-_-9SIAC3J53Z1484-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 2TB 7200RPM + 1TB SSD - 32GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 TI 11GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,350.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G37969&cm_re=alienware-_-9SIAC3J5G37969-_-Product"
